key;ru;en
"card.standard.0.name";"Чёрт";"Imp"
"card.standard.0.desc";"В конце хода: наносит *1* урона случайному персонажу";"At the end of turn: deals *1* damage to a random character"
"card.standard.1.name";"Старший чёрт";"Elder Imp"
"card.standard.1.desc";"В конце хода: наносит *2* урона случайному персонажу";"At the end of turn: deals *2* damage to a random character"
"card.standard.2.name";"Главарь чёртов";"Imp Boss"
"card.standard.2.desc";"В конце хода: уничтожает случайное существо";"At the end of turn: destroys a random creature"
"card.standard.3.name";"Главарь преисподней";"Underworld Boss"
"card.standard.3.desc";"При разыгрывании: заполняет вашу сторону чертями";"When played: fills your row with imps"
"card.standard.4.name";"Грыз";"Gnaw"
"card.standard.4.desc";"При разыгрывании: получает +*1*/+*1* за каждого чёрта, призванного вами в этом матче";"When played: gains +*1*/+*1* for each imp you summoned this match"
"card.standard.5.name";"Голубой волшебник";"Blue Wizard"
"card.standard.5.desc";"При разыгрывании: даёт *3* маны";"When played: gives *3* mana"
"card.standard.6.name";"Неудачливый чародей";"Hapless Sorcerer"
"card.standard.6.desc";"При разыгрывании: тратит 2 маны, чтобы нанести *3* урона существам оппонента";"When played: spends 2 mana to deal *3* damage to enemy creatures"
"card.standard.7.name";"Старый колдун";"Old Warlock"
"card.standard.7.desc";"При разыгрывании: замешивает 1 Вонючее облако в колоду оппонента";"When played: shuffles 1 Stink Cloud into the opponent's deck"
"card.standard.8.name";"Гнидальф немытый";"Gnidalf the Unwashed"
"card.standard.8.desc";"При разыгрывании: замешивает в колоду оппонента Вонючее облако за каждое замешанное вами в этом матче Вонючее облако";"When played: shuffles a Stink Cloud into the opponent's deck for each Stink Cloud you shuffled this match"
"card.standard.9.name";"Работяга";"Laborer"
"card.standard.9.desc";"При разыгрывании: призывает другого работягу из колоды";"When played: summons another Laborer from your deck"
"card.standard.10.name";"Начальник смены";"Shift Foreman"
"card.standard.10.desc";"Пока контролируете: ваши работяги получают +*1*/+*2*";"While you control: your Laborers gain +*1*/+*2*"
"card.standard.11.name";"Прораб";"Foreman"
"card.standard.11.desc";"При разыгрывании: замешайте 2 Работяг в колоду";"When played: shuffle 2 Laborers into your deck"
"card.standard.12.name";"Боец на арене";"Arena Fighter"
"card.standard.12.desc";"В начале хода: получает +*1* к скорости";"At the start of turn: gains +*1* Speed"
"card.standard.13.name";"Маг-пиромант";"Pyromancer Mage"
"card.standard.13.desc";"При разыгрывании: заполните руку Поджогами";"When played: fill your hand with Arson"
"card.standard.14.name";"Глава сатанистов";"Cult Leader"
"card.standard.14.desc";"При смерти: заполняет вашу сторону Сатанистами";"On death: fills your row with Satanists"
"card.standard.15.name";"Сатанист";"Satanist"
